Eartag,AssayType,RecordingDate,Sex,Genotype,DOB,Family,SurgeryDate,TDTGroupPath,TDTTankPath,VideoPath,VideoFile,ScorePath,ScoreFile,PreprocessedDataPath,PreprocessedFiledFF,PreprocessedFileTrimdFF,PartnerEartag,PartnerSex,PartnerGenotype,PartnerDOB,PartnerFamily,PairDate
V1259,introduction,20181205,M,WT,20181001,FC,20181115,M:\photometry-Long2025\tdt_files\1 Intros,V1259-181205-134533,M:\photometry-Long2025\tdt_files\1 Intros\V1259-181205-134533,SetupTest-171211-135959_V1259-181205-134533_Cam1.avi,D:\photometry_nwb\UCSF02 NAc Photometry\Behavior Scoring\1 Intro\csvs,V1259 Intro.csv,D:\photometry_nwb\UCSF02 NAc Photometry\Pre processed Data\Robust Intro dFF Files,V1259_Intro_dFF.mat,V1259_Intro_Trim_dFF.mat,,,,,,20181205
V2210,introduction,20190218,M,WT,20181223,B5,20190125,M:\photometry-Long2025\tdt_files\1 Intros,V2210-190218-142548,M:\photometry-Long2025\tdt_files\1 Intros\V2210-190218-142548,SetupTest-171211-135959_V2210-190218-142548_Cam1.avi,D:\photometry_nwb\UCSF02 NAc Photometry\Behavior Scoring\1 Intro\csvs,V2210 Intro.csv,D:\photometry_nwb\UCSF02 NAc Photometry\Pre processed Data\Robust Intro dFF Files,V2210_Intro_dFF.mat,V2210_Intro_Trim_dFF.mat,,,,,,20190218
V2211,introduction,20190218,M,WT,20181223,B5,20190130,M:\photometry-Long2025\tdt_files\1 Intros,V2211-190218-133221,M:\photometry-Long2025\tdt_files\1 Intros\V2211-190218-133221,SetupTest-171211-135959_V2211-190218-133221_Cam1.avi,D:\photometry_nwb\UCSF02 NAc Photometry\Behavior Scoring\1 Intro\csvs,V2211 Intro.csv,D:\photometry_nwb\UCSF02 NAc Photometry\Pre processed Data\Robust Intro dFF Files,V2211_Intro_dFF.mat,V2211_Intro_Trim_dFF.mat,,,,,,20190218
V3950,introduction,20190904,M,WT,20190706,G15,20190808,M:\photometry-Long2025\tdt_files\1 Intros,V3950-190904-140232,M:\photometry-Long2025\tdt_files\1 Intros\V3950-190904-140232,SetupTest-171211-135959_V3950-190904-140232_Cam1.avi,D:\photometry_nwb\UCSF02 NAc Photometry\Behavior Scoring\1 Intro\csvs,V3950 Intro.csv,D:\photometry_nwb\UCSF02 NAc Photometry\Pre processed Data\Robust Intro dFF Files,V3950_Intro_dFF.mat,V3950_Intro_Trim_dFF.mat,V4146,F,WT,20190726.0,NG5,20190904
V5473,introduction,20200212,M,WT,20191213,G21,20200123,M:\photometry-Long2025\tdt_files\1 Intros,V5473-200212-132254,M:\photometry-Long2025\tdt_files\1 Intros\V5473-200212-132254,SetupTest-171211-135959_V5473-200212-132254_Cam1.avi,D:\photometry_nwb\UCSF02 NAc Photometry\Behavior Scoring\1 Intro\csvs,V5473 Intro.csv,D:\photometry_nwb\UCSF02 NAc Photometry\Pre processed Data\Robust Intro dFF Files,V5473_Intro_dFF.mat,V5473_Intro_Trim_dFF.mat,V5552,F,WT,20191223.0,H5,20200212
V6074,introduction,20200617,M,WT,20200416,H13,20200525,M:\photometry-Long2025\tdt_files\1 Intros,V6074-200617-103009,M:\photometry-Long2025\tdt_files\1 Intros\V6074-200617-103009,SetupTest-171211-135959_V6074-200617-103009_Cam1.avi,D:\photometry_nwb\UCSF02 NAc Photometry\Behavior Scoring\1 Intro\csvs,V6074 Intro.csv,D:\photometry_nwb\UCSF02 NAc Photometry\Pre processed Data\Robust Intro dFF Files,V6074_Intro_dFF.mat,V6074_Intro_Trim_dFF.mat,V6062,F,WT,20200416.0,H2,20200617
V6077,introduction,20200616,M,WT,20200416,H13,20200525,M:\photometry-Long2025\tdt_files\1 Intros,V6077-200616-104123,M:\photometry-Long2025\tdt_files\1 Intros\V6077-200616-104123,SetupTest-171211-135959_V6077-200616-104123_Cam1.avi,D:\photometry_nwb\UCSF02 NAc Photometry\Behavior Scoring\1 Intro\csvs,V6077 Intro.csv,D:\photometry_nwb\UCSF02 NAc Photometry\Pre processed Data\Robust Intro dFF Files,V6077_Intro_dFF.mat,V6077_Intro_Trim_dFF.mat,V6063,F,WT,20200416.0,H2,20200616
V6078,introduction,20200618,M,WT,20200416,H13,20200526,M:\photometry-Long2025\tdt_files\1 Intros,V6078-200618-091315,M:\photometry-Long2025\tdt_files\1 Intros\V6078-200618-091315,SetupTest-171211-135959_V6078-200618-091315_Cam1.avi,D:\photometry_nwb\UCSF02 NAc Photometry\Behavior Scoring\1 Intro\csvs,V6078 Intro.csv,D:\photometry_nwb\UCSF02 NAc Photometry\Pre processed Data\Robust Intro dFF Files,V6078_Intro_dFF.mat,V6078_Intro_Trim_dFF.mat,V6185,F,WT,20200427.0,CTRL3,20200618
V6080,introduction,20200616,M,WT,20200416,H13,20200526,M:\photometry-Long2025\tdt_files\1 Intros,V6080-200616-114419,M:\photometry-Long2025\tdt_files\1 Intros\V6080-200616-114419,SetupTest-171211-135959_V6080-200616-114419_Cam1.avi,D:\photometry_nwb\UCSF02 NAc Photometry\Behavior Scoring\1 Intro\csvs,V6080 Intro.csv,D:\photometry_nwb\UCSF02 NAc Photometry\Pre processed Data\Robust Intro dFF Files,V6080_Intro_dFF.mat,V6080_Intro_Trim_dFF.mat,V6064,F,WT,20200416.0,H2,20200616
V9935,introduction,20200923,M,WT,20200712,SB3,20200830,M:\photometry-Long2025\tdt_files\1 Intros,V9935-200923-102157,M:\photometry-Long2025\tdt_files\1 Intros\V9935-200923-102157,SetupTest-171211-135959_V9935-200923-102157_Cam1.avi,D:\photometry_nwb\UCSF02 NAc Photometry\Behavior Scoring\1 Intro\csvs,V9935 Intro.csv,D:\photometry_nwb\UCSF02 NAc Photometry\Pre processed Data\Robust Intro dFF Files,V9935_Intro_dFF.mat,V9935_Intro_Trim_dFF.mat,V9920,F,WT,20200711.0,SB1,20200923
V9936,introduction,20200923,M,WT,20200712,SB4,20200830,M:\photometry-Long2025\tdt_files\1 Intros,V9936-200923-111715,M:\photometry-Long2025\tdt_files\1 Intros\V9936-200923-111715,SetupTest-171211-135959_V9936-200923-111715_Cam1.avi,D:\photometry_nwb\UCSF02 NAc Photometry\Behavior Scoring\1 Intro\csvs,V9936 Intro.csv,D:\photometry_nwb\UCSF02 NAc Photometry\Pre processed Data\Robust Intro dFF Files,V9936_Intro_dFF.mat,V9936_Intro_Trim_dFF.mat,V9923,F,WT,20200711.0,SB1,20200923
B1627,introduction,20210601,M,MU,20210317,Oxt31,20210504,M:\photometry-Long2025\tdt_files\1 Intros,B1627-210601-104922,M:\photometry-Long2025\tdt_files\1 Intros\B1627-210601-104922,SetupTest-171211-135959_B1627-210601-104922_Cam1.avi,D:\photometry_nwb\UCSF02 NAc Photometry\Behavior Scoring\1 Intro\csvs,B1627 Intro.csv,D:\photometry_nwb\UCSF02 NAc Photometry\Pre processed Data\Robust Intro dFF Files,B1627_Intro_dFF.mat,B1627_Intro_Trim_dFF.mat,B1750,F,WT,20210325.0,H16,20210601
B1664,introduction,20210531,M,MU,20210325,1Het37,20210503,M:\photometry-Long2025\tdt_files\1 Intros,B1664-210531-101420,M:\photometry-Long2025\tdt_files\1 Intros\B1664-210531-101420,SetupTest-171211-135959_B1664-210531-101420_Cam1.avi,D:\photometry_nwb\UCSF02 NAc Photometry\Behavior Scoring\1 Intro\csvs,B1664 Intro.csv,D:\photometry_nwb\UCSF02 NAc Photometry\Pre processed Data\Robust Intro dFF Files,B1664_Intro_dFF.mat,B1664_Intro_Trim_dFF.mat,B1745,F,WT,20210324.0,H43,20210531
B1669,introduction,20210601,M,MU,20210325,Oxt42,20210504,M:\photometry-Long2025\tdt_files\1 Intros,B1669-210601-095527,M:\photometry-Long2025\tdt_files\1 Intros\B1669-210601-095527,SetupTest-171211-135959_B1669-210601-095527_Cam1.avi,D:\photometry_nwb\UCSF02 NAc Photometry\Behavior Scoring\1 Intro\csvs,B1669 Intro.csv,D:\photometry_nwb\UCSF02 NAc Photometry\Pre processed Data\Robust Intro dFF Files,B1669_Intro_dFF.mat,B1669_Intro_Trim_dFF.mat,B1748,F,WT,20210324.0,H43,20210601
V3974,introduction,20190923,M,MU,20190708,Oxt16,20190823,M:\photometry-Long2025\tdt_files\1 Intros,V3974-190923-123112,M:\photometry-Long2025\tdt_files\1 Intros\V3974-190923-123112,SetupTest-171211-135959_V3974-190923-123112_Cam1.avi,D:\photometry_nwb\UCSF02 NAc Photometry\Behavior Scoring\1 Intro\csvs,V3974 Intro.csv,D:\photometry_nwb\UCSF02 NAc Photometry\Pre processed Data\Robust Intro dFF Files,V3974_Intro_dFF.mat,V3974_Intro_Trim_dFF.mat,,,,,,20190923
V3975,introduction,20190919,M,MU,20190708,Oxt16,20190823,M:\photometry-Long2025\tdt_files\1 Intros,V3975-190919-103221,M:\photometry-Long2025\tdt_files\1 Intros\V3975-190919-103221,SetupTest-171211-135959_V3975-190919-103221_Cam1.avi,D:\photometry_nwb\UCSF02 NAc Photometry\Behavior Scoring\1 Intro\csvs,V3975 Intro.csv,D:\photometry_nwb\UCSF02 NAc Photometry\Pre processed Data\Robust Intro dFF Files,V3975_Intro_dFF.mat,V3975_Intro_Trim_dFF.mat,V4160,F,WT,20190726.0,G18,20190919
